0005-00015334;20200203;112;222;EMP00;CO|OCP;2001;P000187;LONA ROTA;1;ING;P1371;50;OK
0005-00015334;20200203;112;222;EMP00;CO|OCP;2001;P000187;LONA ROTA;2;ING;P136;120;OK
