tripli;clave;agente;cliente;idcliente;cuit;pais_codigo;vendedor;pais_procedencia;numero_guia;numero_house;Mode de embarque;Fecha de llegada;Fecha de entrada aduana;nrodespacho;Fecha liberación en la Aduana;Fecha de liberación en otros Organos de Gobierno;Partida Arancelaria utilizada en la importación;Moneda;Otras tajas (IVA, VAT, o otros cobrados em el país);Valor sujeto a impuesto (valor CIF) para esta línea de partida arancelaria;País de fabricación de los productos;Participa de algun programa de Libre Comercio? Caso positivo indicar cual tratado y que SKU tienen benefício;SKU;CountryOfOrigin;ExportCountry
907722;907722209197                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;SA JACOB HOLM INDUSTRIES FRANCE                                                                     ;FRANCIA                                           ;;MLH507143          ;MARITIMO                                          ;17/08/2019;22/08/2019;19001IC04152297A;          ;;56039220110T   ;060;;15755,51;FRANCIA                                           ;                               ;209197                                                                                              ;FR;FR
907857;907857CUCHILLA  #0028154                                                                                      ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;BEST CUTTING DIE COMPANY                                                                            ;ESTADOS UNIDOS                                    ;;ORD-81910544       ;AEREO                                             ;02/08/2019;02/08/2019;19073IC04109071B;          ;;82089000000H   ;DOL;;16287,76;ESTADOS UNIDOS                                    ;                               ;CUCHILLA  #0028154                                                                                  ;US;US
907894;907894224769                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;VAPORJET LTD.                                                                                       ;ISRAEL                                            ;;ZIMUASH415978      ;MARITIMO                                          ;25/07/2019;29/07/2019;19001IC04131208M;          ;;56039220110T   ;DOL;;73505,3;ISRAEL                                            ;                               ;224769                                                                                              ;IL;IL
907964;907964163182                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;RAJ PETRO SPECIALITIES PVT LTD                                                                      ;INDIA                                             ;;AIS0259520         ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04133471Z;          ;;27101991000B   ;DOL;;14381,02;INDIA                                             ;                               ;163182                                                                                              ;IN;IN
908047;908047200820                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;ELSNER ENGINEERING WORKS INC.                                                                       ;ESTADOS UNIDOS                                    ;;PHL-13285515       ;AEREO                                             ;07/08/2019;07/08/2019;19073IC04109775M;          ;;84831090000U   ;DOL;;882,45;ESTADOS UNIDOS                                    ;                               ;200820                                                                                              ;US;US
908054;908054529958                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;CILAG GMBH INTERNATIONAL - NICE PAK                                                                 ;REINO UNIDO                                       ;;GBLAI10027101      ;MARITIMO                                          ;20/08/2019;21/08/2019;19001IC04149753D;          ;;34011190100Q   ;PES;;4195490,994;REINO UNIDO                                       ;                               ;529958                                                                                              ;GB;GB
908054;908054529959                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;CILAG GMBH INTERNATIONAL - NICE PAK                                                                 ;REINO UNIDO                                       ;;GBLAI10027101      ;MARITIMO                                          ;20/08/2019;21/08/2019;19001IC04149753D;          ;;34011190100Q   ;PES;;7546258,25568;REINO UNIDO                                       ;                               ;529959                                                                                              ;GB;GB
908063;908063169433                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;OXITENO S A IND E COM                                                                               ;BRASIL                                            ;;BR966149590        ;TERRESTRE                                         ;01/08/2019;01/08/2019;19042IC05011792A;          ;;34021900900K   ;DOL;;20514,000024;BRASIL                                            ;Participa del Convenio Mercosur;169433                                                                                              ;BR;BR
908065;908065170195                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PROD. DE ENVASES FARMACEUTICOS A PR                                                                 ;COLOMBIA                                          ;;7510-0924-907.011  ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04139249C;          ;;39235000120P   ;DOL;;3576,4;COLOMBIA                                          ;Participa convenio lista 359/1 ;170195                                                                                              ;CO;CO
908065;908065170197                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PROD. DE ENVASES FARMACEUTICOS A PR                                                                 ;COLOMBIA                                          ;;7510-0924-907.011  ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04139249C;          ;;39235000120P   ;DOL;;2919,6;COLOMBIA                                          ;Participa convenio lista 359/1 ;170197                                                                                              ;CO;CO
908065;908065170200                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PROD. DE ENVASES FARMACEUTICOS A PR                                                                 ;COLOMBIA                                          ;;7510-0924-907.011  ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04139249C;          ;;39235000120P   ;DOL;;2919,6;COLOMBIA                                          ;Participa convenio lista 359/1 ;170200                                                                                              ;CO;CO
908065;908065197151                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PROD. DE ENVASES FARMACEUTICOS A PR                                                                 ;COLOMBIA                                          ;;7510-0924-907.011  ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04139249C;          ;;39235000120P   ;DOL;;895,05;COLOMBIA                                          ;Participa convenio lista 359/1 ;197151                                                                                              ;CO;CO
908065;908065197152                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PROD. DE ENVASES FARMACEUTICOS A PR                                                                 ;COLOMBIA                                          ;;7510-0924-907.011  ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04139249C;          ;;39235000120P   ;DOL;;581,2;COLOMBIA                                          ;Participa convenio lista 359/1 ;197152                                                                                              ;CO;CO
908066;908066186822                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;RHODIA POLIAMIDA E ESPECIALIDADES LTDA                                                              ;BRASIL                                            ;;BR966149604        ;TERRESTRE                                         ;07/08/2019;07/08/2019;19042IC05012167U;          ;;34021190900C   ;DOL;;3840,0;INDIA                                             ;                               ;186822                                                                                              ;IN;BR
908068;908068181979                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;STEPAN COMPANY                                                                                      ;ESTADOS UNIDOS                                    ;;CHI/BAA/D16399     ;MARITIMO                                          ;10/08/2019;14/08/2019;19001IC04142973A;          ;;34029029100K   ;DOL;;8539,44;ESTADOS UNIDOS                                    ;                               ;181979                                                                                              ;US;US
908072;908072215032                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;GASCOGNE RELEASE & LAMINATE                                                                         ;FRANCIA                                           ;;SUDUR9LEH007818X   ;MARITIMO                                          ;03/08/2019;06/08/2019;19001IC04136991D;          ;;48115910900N   ;DOL;;10583,03232;FRANCIA                                           ;                               ;215032                                                                                              ;FR;FR
908072;908072215033                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;GASCOGNE RELEASE & LAMINATE                                                                         ;FRANCIA                                           ;;SUDUR9LEH007818X   ;MARITIMO                                          ;03/08/2019;06/08/2019;19001IC04136991D;          ;;48115910900N   ;DOL;;14502,67392;FRANCIA                                           ;                               ;215033                                                                                              ;FR;FR
908072;908072215034                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;GASCOGNE RELEASE & LAMINATE                                                                         ;FRANCIA                                           ;;SUDUR9LEH007818X   ;MARITIMO                                          ;03/08/2019;06/08/2019;19001IC04136991D;          ;;48115910900N   ;DOL;;21758,27136;FRANCIA                                           ;                               ;215034                                                                                              ;FR;FR
908072;908072215307                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;GASCOGNE RELEASE & LAMINATE                                                                         ;FRANCIA                                           ;;SUDUR9LEH007818X   ;MARITIMO                                          ;03/08/2019;06/08/2019;19001IC04136991D;          ;;48115910900N   ;DOL;;13774,74048;FRANCIA                                           ;                               ;215307                                                                                              ;FR;FR
908083;9080839801519                                                                                                 ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;OPTIMA FILLING AND PACKAGING MACHIN                                                                 ;REP. FED DE ALEMANIA                              ;;HLB-55121577       ;AEREO                                             ;06/08/2019;06/08/2019;19073IC04109453F;          ;;84829990900V   ;060;;187,40351;FRANCIA                                           ;                               ;9801519                                                                                             ;FR;DE
908083;9080839801520                                                                                                 ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;OPTIMA FILLING AND PACKAGING MACHIN                                                                 ;REP. FED DE ALEMANIA                              ;;HLB-55121577       ;AEREO                                             ;06/08/2019;06/08/2019;19073IC04109453F;          ;;84229090200A   ;060;;285,06449;REP. FED DE ALEMANIA                              ;                               ;9801520                                                                                             ;DE;DE
908083;9080839801540                                                                                                 ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;OPTIMA FILLING AND PACKAGING MACHIN                                                                 ;REP. FED DE ALEMANIA                              ;;HLB-55121577       ;AEREO                                             ;06/08/2019;06/08/2019;19073IC04109453F;          ;;73151900000Q   ;060;;5,56492;REP. CHECA                                        ;                               ;9801540                                                                                             ;CZ;DE
908083;9080839801562                                                                                                 ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;OPTIMA FILLING AND PACKAGING MACHIN                                                                 ;REP. FED DE ALEMANIA                              ;;HLB-55121577       ;AEREO                                             ;06/08/2019;06/08/2019;19073IC04109453F;          ;;84229090900N   ;060;;1078,23005;REP. FED DE ALEMANIA                              ;                               ;9801562                                                                                             ;DE;DE
908083;9080839802455                                                                                                 ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;OPTIMA FILLING AND PACKAGING MACHIN                                                                 ;REP. FED DE ALEMANIA                              ;;HLB-55121577       ;AEREO                                             ;06/08/2019;06/08/2019;19073IC04109453F;          ;;39219090900J   ;060;;41,83584;REP. FED DE ALEMANIA                              ;                               ;9802455                                                                                             ;DE;DE
908083;9080839802462                                                                                                 ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;OPTIMA FILLING AND PACKAGING MACHIN                                                                 ;REP. FED DE ALEMANIA                              ;;HLB-55121577       ;AEREO                                             ;06/08/2019;06/08/2019;19073IC04109453F;          ;;84229090200A   ;060;;225,67606;REP. FED DE ALEMANIA                              ;                               ;9802462                                                                                             ;DE;DE
908083;9080839802463                                                                                                 ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;OPTIMA FILLING AND PACKAGING MACHIN                                                                 ;REP. FED DE ALEMANIA                              ;;HLB-55121577       ;AEREO                                             ;06/08/2019;06/08/2019;19073IC04109453F;          ;;84229090200A   ;060;;589,92513;REP. FED DE ALEMANIA                              ;                               ;9802463                                                                                             ;DE;DE
908090;908090220721                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;MEGA EMBALAGENS LTDA                                                                                ;BRASIL                                            ;;BR966149601        ;TERRESTRE                                         ;07/08/2019;07/08/2019;19042IC05012161Y;          ;;39232190119N   ;DOL;;2951,1987255;BRASIL                                            ;Participa del Convenio Mercosur;220721                                                                                              ;BR;BR
908090;908090220722                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;MEGA EMBALAGENS LTDA                                                                                ;BRASIL                                            ;;BR966149601        ;TERRESTRE                                         ;07/08/2019;07/08/2019;19042IC05012161Y;          ;;39232190119N   ;DOL;;6102,5321488;BRASIL                                            ;Participa del Convenio Mercosur;220722                                                                                              ;BR;BR
908142;90814261179                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;CILAG GMBH INTERNATIONAL                                                                            ;FRANCIA                                           ;;FRPAR0000008231    ;MARITIMO                                          ;10/08/2019;20/08/2019;19001IC04148600Z;          ;;33049910100V   ;PES;;19084,0914;FRANCIA                                           ;                               ;61179                                                                                               ;FR;FR
908142;90814261201                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;CILAG GMBH INTERNATIONAL                                                                            ;FRANCIA                                           ;;FRPAR0000008231    ;MARITIMO                                          ;10/08/2019;20/08/2019;19001IC04148600Z;          ;;33049910100V   ;PES;;49518,0756;FRANCIA                                           ;                               ;61201                                                                                               ;FR;FR
908145;908145531091                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON DE COLOMBIA S.A                                                                   ;COLOMBIA                                          ;;                   ;MARITIMO                                          ;26/07/2019;30/07/2019;19001IC04130696W;          ;;33049910100V   ;DOL;;35993,76;COLOMBIA                                          ;Participa convenio lista 359/1 ;531091                                                                                              ;CO;CO
908145;908145535463                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON DE COLOMBIA S.A                                                                   ;COLOMBIA                                          ;;                   ;MARITIMO                                          ;26/07/2019;30/07/2019;19001IC04130696W;          ;;34011190900J   ;DOL;;2010,96;COLOMBIA                                          ;Participa convenio lista 359/1 ;535463                                                                                              ;CO;CO
908145;908145535479                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON DE COLOMBIA S.A                                                                   ;COLOMBIA                                          ;;                   ;MARITIMO                                          ;26/07/2019;30/07/2019;19001IC04130696W;          ;;33049100000J   ;DOL;;12877,2;COLOMBIA                                          ;Participa convenio lista 359/1 ;535479                                                                                              ;CO;CO
908145;90814555962                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON DE COLOMBIA S.A                                                                   ;COLOMBIA                                          ;;                   ;MARITIMO                                          ;26/07/2019;30/07/2019;19001IC04130696W;          ;;33049910100V   ;DOL;;2099,69;COLOMBIA                                          ;Participa convenio lista 359/1 ;55962                                                                                               ;CO;CO
908145;90814565645                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON DE COLOMBIA S.A                                                                   ;COLOMBIA                                          ;;                   ;MARITIMO                                          ;26/07/2019;30/07/2019;19001IC04130696W;          ;;33049990990W   ;DOL;;2950,7;COLOMBIA                                          ;Participa convenio lista 359/1 ;65645                                                                                               ;CO;CO
908145;90814566846                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON DE COLOMBIA S.A                                                                   ;COLOMBIA                                          ;;                   ;MARITIMO                                          ;26/07/2019;30/07/2019;19001IC04130696W;          ;;33049100000J   ;DOL;;1299,56;COLOMBIA                                          ;Participa convenio lista 359/1 ;66846                                                                                               ;CO;CO
908145;90814588285                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON DE COLOMBIA S.A                                                                   ;COLOMBIA                                          ;;                   ;MARITIMO                                          ;26/07/2019;30/07/2019;19001IC04130696W;          ;;96190000190P   ;DOL;;12102,72;COLOMBIA                                          ;Participa convenio lista 359/1 ;88285                                                                                               ;CO;CO
908145;90814596416                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON DE COLOMBIA S.A                                                                   ;COLOMBIA                                          ;;                   ;MARITIMO                                          ;26/07/2019;30/07/2019;19001IC04130696W;          ;;33049990990W   ;DOL;;1919,48;COLOMBIA                                          ;Participa convenio lista 359/1 ;96416                                                                                               ;CO;CO
908145;90814597484                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON DE COLOMBIA S.A                                                                   ;COLOMBIA                                          ;;                   ;MARITIMO                                          ;26/07/2019;30/07/2019;19001IC04130696W;          ;;34013000000N   ;DOL;;8382,67;COLOMBIA                                          ;Participa convenio lista 359/1 ;97484                                                                                               ;CO;CO
908160;908160216464                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;LINER BR IND E COM LTDA                                                                             ;BRASIL                                            ;;BR966149642        ;TERRESTRE                                         ;29/08/2019;29/08/2019;19042IC05013366W;          ;;48115910900N   ;DOL;;6480,0;BRASIL                                            ;Participa del Convenio Mercosur;216464                                                                                              ;BR;BR
908161;908161149884                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;BERRY DO BR LTDA.                                                                                   ;BRASIL                                            ;;BR966149607        ;TERRESTRE                                         ;13/08/2019;13/08/2019;19042IC05012411M;          ;;39201099910Z   ;DOL;;9464,38;BRASIL                                            ;Participa del Convenio Mercosur;149884                                                                                              ;BR;BR
908161;908161219586                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;BERRY DO BR LTDA.                                                                                   ;BRASIL                                            ;;BR966149607        ;TERRESTRE                                         ;13/08/2019;13/08/2019;19042IC05012411M;          ;;39201099910Z   ;DOL;;0,0;BRASIL                                            ;Participa del Convenio Mercosur;219586                                                                                              ;BR;BR
908161;908161219587                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;BERRY DO BR LTDA.                                                                                   ;BRASIL                                            ;;BR966149607        ;TERRESTRE                                         ;13/08/2019;13/08/2019;19042IC05012411M;          ;;39201099910Z   ;DOL;;0,0;BRASIL                                            ;Participa del Convenio Mercosur;219587                                                                                              ;BR;BR
908165;908165441446                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON INDL LTDA                                                                         ;BRASIL                                            ;;BRSAO0000000410    ;MARITIMO                                          ;29/07/2019;31/07/2019;19001IC04133276T;          ;;34013000000N   ;DOL;;6555,9111;BRASIL                                            ;Participa del Convenio Mercosur;441446                                                                                              ;BR;BR
908165;908165441518                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON INDL LTDA                                                                         ;BRASIL                                            ;;BRSAO0000000410    ;MARITIMO                                          ;29/07/2019;31/07/2019;19001IC04133276T;          ;;34013000000N   ;DOL;;17866,90945;BRASIL                                            ;Participa del Convenio Mercosur;441518                                                                                              ;BR;BR
908165;908165529446                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON INDL LTDA                                                                         ;BRASIL                                            ;;BRSAO0000000410    ;MARITIMO                                          ;29/07/2019;31/07/2019;19001IC04133276T;          ;;96190000210U   ;DOL;;10023,955;BRASIL                                            ;Participa del Convenio Mercosur;529446                                                                                              ;BR;BR
908165;908165529449                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON INDL LTDA                                                                         ;BRASIL                                            ;;BRSAO0000000410    ;MARITIMO                                          ;29/07/2019;31/07/2019;19001IC04133276T;          ;;96190000210U   ;DOL;;121530,85474;BRASIL                                            ;Participa del Convenio Mercosur;529449                                                                                              ;BR;BR
908165;908165539552                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON INDL LTDA                                                                         ;BRASIL                                            ;;BRSAO0000000410    ;MARITIMO                                          ;29/07/2019;31/07/2019;19001IC04133276T;          ;;96190000210U   ;DOL;;12953,9234;BRASIL                                            ;Participa del Convenio Mercosur;539552                                                                                              ;BR;BR
908165;90816571956                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON INDL LTDA                                                                         ;BRASIL                                            ;;BRSAO0000000410    ;MARITIMO                                          ;29/07/2019;31/07/2019;19001IC04133276T;          ;;33049990990W   ;DOL;;3048,31744;BRASIL                                            ;Participa del Convenio Mercosur;71956                                                                                               ;BR;BR
908165;90816594723                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON INDL LTDA                                                                         ;BRASIL                                            ;;BRSAO0000000410    ;MARITIMO                                          ;29/07/2019;31/07/2019;19001IC04133276T;          ;;33049910100V   ;DOL;;32176,08;BRASIL                                            ;Participa del Convenio Mercosur;94723                                                                                               ;BR;BR
908165;90816597489                                                                                                   ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;JOHNSON & JOHNSON INDL LTDA                                                                         ;BRASIL                                            ;;BRSAO0000000410    ;MARITIMO                                          ;29/07/2019;31/07/2019;19001IC04133276T;          ;;33049910200A   ;DOL;;1312,25624;BRASIL                                            ;Participa del Convenio Mercosur;97489                                                                                               ;BR;BR
908174;908174179688                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;FIRMENICH & CIA. LTDA.                                                                              ;BRASIL                                            ;;BR966149643        ;TERRESTRE                                         ;29/08/2019;29/08/2019;19042IC05013370R;          ;;33029019900M   ;DOL;;1438,5;BRASIL                                            ;Participa del Convenio Mercosur;179688                                                                                              ;BR;BR
908175;908175189404                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;OXITENO S A IND E COM                                                                               ;BRASIL                                            ;;BR966149622        ;TERRESTRE                                         ;15/08/2019;15/08/2019;19042IC05012635U;          ;;34021900900K   ;DOL;;19650,0;BRASIL                                            ;Participa del Convenio Mercosur;189404                                                                                              ;BR;BR
908177;908177181958                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PLASTEK DO BRASIL IND. E COM. LTDA                                                                  ;BRASIL                                            ;;BR966149644        ;TERRESTRE                                         ;29/08/2019;29/08/2019;19042IC05013371S;          ;;39235000120P   ;DOL;;2318,08;BRASIL                                            ;Participa del Convenio Mercosur;181958                                                                                              ;BR;BR
908177;908177208623                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PLASTEK DO BRASIL IND. E COM. LTDA                                                                  ;BRASIL                                            ;;BR966149644        ;TERRESTRE                                         ;29/08/2019;29/08/2019;19042IC05013371S;          ;;39235000120P   ;DOL;;6044,88;BRASIL                                            ;Participa del Convenio Mercosur;208623                                                                                              ;BR;BR
908177;908177208626                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PLASTEK DO BRASIL IND. E COM. LTDA                                                                  ;BRASIL                                            ;;BR966149644        ;TERRESTRE                                         ;29/08/2019;29/08/2019;19042IC05013371S;          ;;39235000120P   ;DOL;;3689,74;BRASIL                                            ;Participa del Convenio Mercosur;208626                                                                                              ;BR;BR
908177;908177208627                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PLASTEK DO BRASIL IND. E COM. LTDA                                                                  ;BRASIL                                            ;;BR966149644        ;TERRESTRE                                         ;29/08/2019;29/08/2019;19042IC05013371S;          ;;39235000120P   ;DOL;;3768,24;BRASIL                                            ;Participa del Convenio Mercosur;208627                                                                                              ;BR;BR
908179;908179540792                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;BERRY DO BR LTDA.                                                                                   ;BRASIL                                            ;;BR966149619        ;TERRESTRE                                         ;14/08/2019;14/08/2019;19042IC05012592W;          ;;39201099910Z   ;DOL;;2744,2;BRASIL                                            ;Participa del Convenio Mercosur;540792                                                                                              ;BR;BR
908179;908179540796                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;BERRY DO BR LTDA.                                                                                   ;BRASIL                                            ;;BR966149619        ;TERRESTRE                                         ;14/08/2019;14/08/2019;19042IC05012592W;          ;;               ;DOL;;0,0;                                                  ;                               ;540796                                                                                              ;  ;BR
908179;908179540801                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;BERRY DO BR LTDA.                                                                                   ;BRASIL                                            ;;BR966149619        ;TERRESTRE                                         ;14/08/2019;14/08/2019;19042IC05012592W;          ;;               ;DOL;;0,0;                                                  ;                               ;540801                                                                                              ;  ;BR
908179;908179543566                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;BERRY DO BR LTDA.                                                                                   ;BRASIL                                            ;;BR966149619        ;TERRESTRE                                         ;14/08/2019;14/08/2019;19042IC05012592W;          ;;               ;DOL;;0,0;                                                  ;                               ;543566                                                                                              ;  ;BR
